Histology,PNLIP,CTRB2,CLPS,PLA2G1B,CELA2A,PNLIPRP1,CELA2B,SERPINI2,SYCN,ALB
0,3.55626988411,4.86263990402,4.73673009872,3.34051990509,3.31098008156,4.33514022827,4.29692983627,3.47088003159,4.30603981018,2.47743010521
0,3.711810112,4.16700983047,4.80623006821,3.40030002594,3.66259002686,3.70902991295,4.00102996826,3.53159999847,4.10160017014,2.63314008713
0,10.4159002304,8.38883018494,8.65962028503,7.83234977722,8.2797498703,5.79392004013,5.78833007812,3.9311299324,6.40451002121,2.47600007057
0,10.3634996414,7.74491977692,8.41279983521,7.5664601326,8.21485996246,5.5480298996,5.81102991104,3.79736995697,5.98018980026,2.72287988663
0,13.7741003036,13.6319999695,12.8781003952,12.6443004608,12.0030002594,10.6786003113,10.0797996521,7.6769900322,10.8283996582,3.40790009499
0,13.7157001495,13.2978000641,12.8163995743,12.5804004669,12.1490001678,10.6578998566,10.1395998001,7.703810215,10.3425998688,3.81000995636
0,11.103099823,9.95341014862,8.26264953613,8.7882604599,9.49088954926,7.14833021164,6.62270021439,4.82307004929,6.90796995163,2.56181001663
0,6.54686021805,8.69314002991,6.66013002396,5.85840988159,4.86246013641,5.33457994461,4.49519014359,3.466340065,4.47645998001,2.71074008942
0,14.4345998764,14.1906003952,14.4052000046,14.152299881,14.1528997421,13.2244997025,13.163599968,12.0724000931,13.7438001633,9.94235038757
0,8.90027999878,7.8695101738,7.35853004456,6.90618991852,7.37825012207,5.09059000015,5.37121009827,3.33067989349,4.65880012512,2.65446996689
0,4.75184011459,5.21648979187,5.46844005585,4.20867013931,4.57767009735,4.37599992752,4.1566901207,3.24745988846,3.97464990616,2.7340900898
0,3.43688988686,4.32640981674,4.45714998245,3.995470047,3.34984993935,4.76997995377,4.43904018402,3.79238009453,4.26616001129,2.52318000793
0,14.0403995514,14.3473997116,13.8354997635,13.9783000946,13.4492998123,13.0361003876,11.9764995575,10.7988996506,11.9652996063,7.3527097702
0,4.61819982529,5.45543003082,4.52136993408,4.64537000656,3.60905003548,5.08389997482,4.60890007019,3.6880800724,4.80530977249,7.57240009308
0,13.6819000244,13.8606004715,12.005900383,13.1441001892,12.5216999054,12.2297000885,10.2461004257,9.24164009094,10.8531999588,7.34848022461
0,6.91324996948,6.15705013275,6.50781011581,4.90790987015,5.18645000458,4.409719944,4.19470977783,3.58262991905,4.48456001282,2.38867998123
0,14.1229000092,13.9930000305,14.0635004044,13.4870004654,13.3997001648,12.4591999054,11.3020000458,9.78530979156,11.5083999634,6.35158014297
